code,heen,terug,cond,niveau,naam,toelichting,waarde_type,min_waarde,max_waarde
AAA,A,A,,N,Strengreferentie,"Unieke identificatie van de leiding. Als bij teruglevering de identificatie onbekend is, dan conform afspraak opdrachtgever",,,
AAB,,A,,N,Beginknooppuntreferentie,Startpunt inspectie knooppuntreferentie 1 of 2,,,
AAC,,O,,,Beginknooppuntcoördinaat,,,,
AAD,A,A,,N,Knooppuntreferentie 1,,,,
AAE,A,O,,,Knooppuntcoördinaat knooppunt 1,,,,
AAF,A,A,,N,Knooppuntreferentie 2,,,,
AAG,A,O,,,Knooppuntcoördinaat knooppunt 2,,,,
AAH,,O,A,,Plaats is de langsrichting van begin zijaansluiting,Verplicht als een aansluitleiding wordt geïnspecteerd,,,
AAI,,O,,,Plaats op omtrek van begin zijaansluiting,,,,
AAJ,A,,,,Locatie,Straatnaam,,,
AAK,,O,,,Inspectierichting,Codelijst conform EN 13508-2,codelijst,,
AAL,O,,,,Soort locatie,Codelijst conform EN 13508-2,codelijst,,
AAM,A,A,,,Bevoegde instantie,"De opdracht van het project, in veel gevallen de gemeente",,,
AAN,O,A,,,Stad of dorp,,,,
AAO,A,,,,Wijk,Wijk of kern. Verplicht invullen als het de naam van een plaats is bij samengevoegde gemeenten,,,
AAP,O,,,,Naam rioolstelsel,,,,
AAQ,O,,,,Grondeigendom,Codelijst conform EN 13508-2,codelijst,,
AAT,A,O,A,,Knooppuntreferentie 3,Verplicht als een aansluitleiding wordt geïnspecteerd (bijv. perceel-aansluitpunt),,,
AAU,O,O,,,Knooppuntcoördinaat knooppunt 3,,,,
AAV,,O,A,,Beginpunt van een zijaansluiting,Verplicht als een aansluitleiding wordt geïnspecteerd,,,
ABA,A,A,,,Norm,Codelijst conform par. 6.13,codelijst,,
ABB,,O,A,,Oorspronkelijk coderingssysteem,Verplicht als dit bestand een conversie betreft,,,
ABC,,A,,,Referentiepunt in langsrichting,Codelijst conform EN 13508-2,codelijst,,
ABE,A,A,,,Inspectiemethode,Codelijst conform EN 13508-2,codelijst,,
ABF,,A,,N,Inspectiedatum,Formaat [datum],datum,,
ABG,,O,,,Inspectietijd,,tijd,,
ABH,,A,,,Naam inspecteur,Naam inspecteur en inspectiebedrijf,,,
ABI,,A,,,Functiereferentie inspecteur,Opdrachtcode van het inspectiebedrijf,,,
ABJ,A,,,,Functiereferentie werkgever,Opdrachtcode van opdrachtgever,,,
ABK,,A,,,Medium voor opslag videobeelden,Codelijst conform EN 13508-2,codelijst,,
ABL,,A,,,Formaat voor opslag foto's,Codelijst conform EN 13508-2,codelijst,,
ABM,,A,,,Systeem voor plaatsbepaling videobeelden,Codelijst conform EN 13508-2,codelijst,,
ABN,,O,A,,Fotoreferentie,Codelijst conform EN 13508-2,codelijst,,
ABO,,A,,,Videoreferentie,Codelijst conform EN 13508-2,codelijst,,
ABP,A,,,,Inspectiedoel,Codelijst conform EN 13508-2,codelijst,,
ABQ,A,,,,Verwachte lengte van de inspectie,Verplicht als soort inspectie A of B is (veld ABE),float,0,500
ABR,,A,,,Formaat voor videobeeldmateriaal,Codelijst conform EN 13508-2,codelijst,,
ABS,,A,,,Bestandsnaam voor videomateriaal,,,,
ABT,O,O,,,Inspectiefase,Codelijst conform EN 13508-2,codelijst,,
ACA,A,A,,,Vorm,Codelijst conform EN 13508-2,codelijst,,
ACB,A,A,,,Hoogte,,float,0,5000
ACC,A,O,A,,Breedte,Verplicht als vorm niet rond is,float,0,5000
ACD,A,A,,,Materiaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
ACE,A,O,A,,Soort lining,Codelijst conform EN 13508-2,codelijst,,
ACF,A,O,A,,Liningmateriaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
ACG,O,O,,,Lengte buisdeel,,float,0,500
ACH,O,O,,,Diepte bij beginknooppunt,Bob knooppuntreferentie 1 t.o.v. putdeksel,float,,
ACI,O,O,,,Diepte bij eindknooppunt,Bob knooppuntreferentie 2 t.o.v. putdeksel,float,,
ACJ,A,O,,,Soort afvoerleiding of riool,Codelijst conform EN 13508-2,codelijst,,
ACK,A,O,,,Gebruik afvoerleiding of riool,Codelijst conform EN 13508-2,codelijst,,
ACL,O,,,,Strategisch,,,,
ACM,O,A,,,Reinigen,Codelijst conform EN 13508-2,codelijst,,
ACN,O,,,,Jaar van ingebruikneming,,integer,1900,2030
ADA,,O,,,Neerslag,Codelijst conform EN 13508-2,codelijst,,
ADB,,O,,,Temperatuur,Codelijst conform EN 13508-2 (alleen code gebruiken),codelijst,,
ADC,,O,,,Maatregelen beheersen vloeistofstroom,Codelijst conform EN 13508-2,codelijst,,
ADE,,O,A,,Algemene opmerking,"Als een opmerking door een van de andere velden vereist wordt, dan deze opmerking als attribuut ""ADE"" opnemen",,,
AXA,O,,,,Tekeningnummer,,,,
AXB,O,,,,Verharding van het wegdek,Codelijst conform par. 6.13,codelijst,,
AXC,,O,default nee,,Leiding ontbreekt in opdracht,"Codelijst conform par. 6.13. Leiding staat niet in het bronmateriaal bij de opdracht (vooraf gevuld RibX, tekening e.d.)",codelijst,,
AXD,,O,default nee,,Leiding niet behandeld,"Codelijst conform par. 6.13. Leiding staat wel in het bronmateriaal bij de opdracht, maar is niet geinspecteerd",codelijst,,
AXE,O,,,,Wanddikte,in mm,float,0,500
AXF,O,O,,,Verbindingstype,Codelijst conform par. 6.13,codelijst,,
AXG,O,O,,,NAP-waarde bob bij beginput,in meters,float,-15,15
AXH,O,O,,,NAP-waarde bob bij eindput,in meters,float,-15,15
AXP,A,O,A,,Voegmateriaal,Codelijst conform par. 6.13. Verplicht als het materiaal asbesthoudend is,codelijst,,
AXY,O,O,,,Leidingcurve,Coördinatenreeks conform GML-definitie. Coördinaten beginpunt en eindpunt leiding en optioneel knikpunten. Zie paragraaf 4.5 voor uitleg,,,
