code,heen,terug,cond,niveau,naam,toelichting,waarde_type,min_waarde,max_waarde
CAA,A,A,,N,Knooppuntreferentie,"Unieke identificatie van de put. Als bij teruglevering de identificatie onbekend is, dan conform afspraak opdrachtgever",,,
CAB,A,O,,"",Knooppuntcoördinaat,,,,
CAJ,A,,,,Locatie,Straatnaam,,,
CAL,O,,,,Soort locatie,Codelijst conform EN 13508-2,codelijst,,
CAM,A,A,,,Bevoegde instantie,"De opdracht van het project, in veel gevallen de gemeente",,,
CAN,O,A,,,Stad of dorp,,,,
CAO,A,,,,Wijk,Wijk of kern. Verplicht invullen als het de naam van een plaats is bij samengevoegde gemeenten,,,
CAP,O,,,,Naam rioolstelsel,,,,
CAQ,O,,,,Grondeigendom,Codelijst conform EN 13508-2,codelijst,,
CAR,O,O,,,Soort knooppunt,Codelijst conform EN 13508-2,codelijst,,
CAS,O,O,,,Putdekselhoogte,,float,-10,50
CBA,A,A,,,Norm,Codelijst conform par. 6.13,codelijst,,
CBB,,O,A,,Oorspronkelijk coderingssysteem,Verplicht als dit bestand een conversie betreft,,,
CBC,,A,,,Verticaal referentiepunt,Codelijst conform EN 13508-2,codelijst,,
CBD,,A,,,Omtrekreferentiepunt,Codelijst conform EN 13508-2,codelijst,,
CBE,A,A,,,Inspectiemethode,Codelijst conform EN 13508-2,codelijst,,
CBF,,A,,N,Inspectiedatum,Formaat [datum],datum,,
CBG,,O,,,Inspectietijd,Formaat [tijdstip],tijd,,
CBH,,A,,,Naam inspecteur,Naam inspecteur en inspectiebedrijf,,,
CBI,,A,,,Functiereferentie inspecteur,Opdrachtcode van het inspectiebedrijf,,,
CBJ,A,,,,Functiereferentie werkgever,Opdrachtcode van opdrachtgever,,,
CBK,,O,A,,Medium voor opslag videobeelden,Codelijst conform EN 13508-2,codelijst,,
CBL,,O,A,,Formaat voor opslag foto's,Codelijst conform EN 13508-2,codelijst,,
CBM,,O,A,,Systeem voor plaatsbepaling videobeelden,Codelijst conform EN 13508-2,codelijst,,
CBN,,O,A,,Fotoreferentie,Codelijst conform EN 13508-2,codelijst,,
CBO,,O,A,,Videoreferentie,Codelijst conform EN 13508-2,codelijst,,
CBP,A,,,,Inspectiedoel,Codelijst conform EN 13508-2,codelijst,,
CBR,,A,,,Formaat voor videobeeldmateriaal,Codelijst conform EN 13508-2,codelijst,,
CBS,,A,,,Bestandsnaam voor videomateriaal,,,,
CBT,O,O,,,Inspectiefase,Codelijst conform EN 13508-2,codelijst,,
CCA,O,O,,,De vorm toegang,Codelijst conform EN 13508-2,codelijst,,
CCB,O,O,,,Breedte van toegang,Lengte van de toegang in mm,float,0,5000
CCC,O,O,,,Breedte van toegang (niet rond),Breedte van de toegang in mm,float,0,5000
CCD,O,O,,,Materiaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
CCG,O,O,,,Lengte van een putdeel,in mm,float,0,10000
CCK,O,,,,Gebruik van riolering,Codelijst conform EN 13508-2,codelijst,,
CCL,O,,,,Strategisch,,,,
CCM,O,A,,,Reinigen,Codelijst conform EN 13508-2,codelijst,,
CCN,O,,,,Jaar van ingebruikneming,,integer,1900,2030
CCO,O,O,,,Vorm deksel,Codelijst conform EN 13508-2,codelijst,,
CCP,O,O,,,Materiaal deksel,Codelijst conform EN 13508-2,codelijst,,
CCQ,O,O,,,Breedte deksel,Lengte deksel in mm,float,0,5000
CCR,O,O,,,Breedte deksel (niet rond),Breedte deksel in mm,float,0,5000
CCS,O,O,,,Soort klimijzers,Codelijst conform EN 13508-2,codelijst,,
CCT,O,O,,,Materiaal klimijzers,Codelijst conform EN 13508-2,codelijst,,
CDA,,O,,,Neerslag,Codelijst conform EN 13508-2,codelijst,,
CDB,,O,,,Temperatuur,Codelijst conform EN 13508-2 (alleen code gebruiken),codelijst,,
CDC,,O,,,Maatregelen beheersen vloeistofstroom,Codelijst conform EN 13508-2,codelijst,,
CDD,,O,,,Atmosfeer,Codelijst conform EN 13508-2,codelijst,,
CDE,,A,,,Algemene opmerking,"Als een opmerking door een van de andere velden vereist wordt, dan deze opmerking als attribuut ""CDE"" opnemen.",,,
CXA,O,,,,Tekeningnummer,,,,
CXB,O,,,,De verharding van het wegdek,Codelijst conform par. 6.13,codelijst,,
CXC,,O,default nee,,Put ontbreekt in opdracht,"Codelijst conform par. 6.13. Put niet in het bronmateriaal bij de opdracht (vooraf gevuld RibX, tekening e.d.)",codelijst,,
CXD,,O,default nee,,Put niet behandeld,"Codelijst conform par. 6.13. Put staat wel in het bronmateriaal bij de opdracht, maar is niet geinspecteerd",codelijst,,
CXE,O,,,,Wanddikte,in mm,float,0,500
CXF,O,O,,,Verbindingstype,Codelijst conform par. 6.13,codelijst,,
CXP,A,A,,,Voegmateriaal,Codelijst conform par. 6.13. Verplicht als het materiaal asbesthoudend is,codelijst,,
