code,heen,terug,cond,niveau,naam,toelichting,waarde_type,min_waarde,max_waarde
EAA,A,A,,N,Kolkreferentie,Unieke identificatie van de kolk. Uit beheersysteem of vanaf tekening ingevuld,,,
EAB,A,O,,,Kolkcoördinaat,,,,
EAJ,A,,,,Locatie,Straatnaam,,,
EAL,O,,,,Soort locatie,Codelijst conform EN 13508-2 CAL,codelijst,,
EAM,A,A,,,Bevoegde instantie,"De opdracht van het project, in veel gevallen de gemeente",,,
EAN,O,A,,,Stad of dorp,,,,
EAO,A,,,,Wijk,Verplicht invullen als het de naam van een plaats is bij samengevoegde gemeenten,,,
EAQ,O,,,,Grondeigendom,Codelijst conform EN 13508-2 CAQ,codelijst,,
EAR,O,O,,,Kolktype,Codelijst conform par. 6.13,codelijst,,
EBA,A,A,,,Norm,Codelijst conform par. 6.13,codelijst,,
EBB,,O,A,,Oorspronkelijk coderingssysteem,Verplicht als dit bestand een conversie betreft,,,
EBF,,A,,N,Inspectiedatum,Formaat [datum],datum,,
EBG,,A,,,Inspectietijd,Formaat [tijdstip],tijd,,
EBH,,A,,,Naam inspecteur,Naam inspecteur en inspectiebedrijf,,,
EBI,,A,,,Functiereferentie inspecteur,Opdrachtcode van het inspectiebedrijf,,,
EBJ,A,,,,Functiereferentie werkgever,Opdrachtcode van opdrachtgever,,,
ECD,O,O,,,Materiaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
ECK,O,O,,,Gebruik riolering,Codelijst conform EN 13508-2 CCK,codelijst,,
ECM,O,A,,,Verwacht type reiniging,Codelijst conform par. 6.13,codelijst,,
ECN,O,,,,Jaar van ingebruikneming,,integer,,
EDA,,O,,,Neerslag,Codelijst conform EN 13508-2,codelijst,,
EDB,,O,,,Temperatuur,Codelijst conform EN 13508-2 (alleen code gebruiken),codelijst,,
EDE,,O,A,,Algemene opmerking,"Als een opmerking door een van de andere velden vereist wordt, dan deze opmerking als attribuut ""EDE"" opnemen.",,,
EXC,,O,default nee,,Kolk ontbreekt in opdracht,"Codelijst conform par. 6.13. Kolk staat niet in het bronmateriaal bij de opdracht (vooraf gevuld RibX, tekening e.d.)",codelijst,,
EXD,,O,default nee,,Kolk niet behandeld,"Codelijst conform par. 6.13. Kolk staat wel in het bronmateriaal bij de opdracht, maar is niet geïnspecteerd",codelijst,,
EXI,,O,,,Nadere locatie,"Locatieaanduiding (bijvoorbeeld: huisnummer). Alleen vullen als EAJ ontbreekt, als alternatieve aanduiding van de locatie",,,
EXJ,,O,,,Nummerzijde locatie,Codelijst conform par. 6.13,codelijst,,
EXK,,O,,,Voertuigreferentie,De referentiecode van het voertuig,,,
EXL,O,O,,,Uitklimvoorziening,De kolk is voorzien van een constructie die het mogelijk maakt dat amfibieën en kleine zoogdieren uit de kolk kunnen klimmen Ja (A) -Nee (B),,,
EXM,O,O,,,Vergrendeling,Type van de vergrendeling,,,
EXP,A,O,A,,Voegmateriaal,Verplicht vooraf en terugleveren als bekend is dat het materiaal asbesthoudend is,,,
EXW,,A,,,Stortbonreferentie,Referentie naar de stortbon. Conform RibX 1.5.1 veld LAA,,,
