code,heen,terug,cond,niveau,naam,toelichting,waarde_type,min_waarde,max_waarde
GAA,A,A,,N,Strengreferentie,"Unieke identificatie van de leiding. Als bij teruglevering de identificatie onbekend is, dan conform afspraak opdrachtgever",,,
GAB,,A,,,Beginknooppuntreferentie,Startpunt reiniging (knooppuntreferentie 1 of 2),,,
GAC,O,O,,,Beginknooppuntcoördinaat,,,,
GAD,A,A,,N,Knooppuntreferentie 1,,,,
GAE,A,O,,,Knooppuntcoördinaat knooppunt 1,,,,
GAF,A,A,,N,Knooppuntreferentie 2,,,,
GAG,A,O,,,Knooppuntcoördinaat knooppunt 2,,,,
GAJ,A,,,,Locatie,Straatnaam,,,
GAL,O,,,,Soort locatie,Codelijst conform EN 13508-2 AAL,codelijst,,
GAM,A,A,,,Bevoegde instantie,"De opdracht van het project, in veel gevallen de gemeente",,,
GAN,O,A,,,Stad of dorp,,,,
GAO,A,,,,Wijk,Wijk of kern. Verplicht invullen als het de naam van een plaats is bij samengevoegde gemeenten,,,
GAP,O,,,,Naam rioolstelsel,,,,
GAQ,O,,,,Grondeigendom,Codelijst conform EN 13508-2 AAQ,codelijst,,
GBA,A,A,codelijst met ruimte,,Norm,Codelijst conform par. 6.13,"",,
GBB,,O,A,,Oorspronkelijk coderingssysteem,Verplicht als dit bestand een conversie betreft,,,
GBC,,A,,,Referentiepunt in langsrichting,Codelijst conform EN 13508-2 ABC,codelijst,,
GBE,,A,,,Reinigingsmethode,Codelijst conform par. 6.13,codelijst,,
GBF,,A,,N,Reinigingsdatum,Formaat [datum],datum,,
GBH,,A,,,Naam van de reiniger,Naam en bedrijf reiniger,,,
GBI,,A,,,Functiereferentie reiniger,Opdrachtcode van het reinigingsbedrijf,,,
GBJ,A,,,,Functiereferentie werkgever,Opdrachtcode van opdrachtgever,,,
GBK,,O,A,,Medium voor opslag videobeelden,Codelijst conform EN 13508-2 ABK,codelijst,,
GBL,,A,,,Formaat voor opslag foto's,Codelijst conform EN 13508-2 ABL,codelijst,,
GBM,,O,A,,Systeem voor plaatsbepaling videobeelden,Codelijst conform EN 13508-2 ABM,codelijst,,
GBN,,O,A,,Fotoreferentie,Codelijst conform EN 13508-2 ABN,codelijst,,
GBO,,O,A,,Videoreferentie,Codelijst conform EN 13508-2 ABO,codelijst,,
GBP,A,,,,Reinigingsdoel,Codelijst conform par. 6.13,codelijst,,
GBQ,A,A,,,Verwachte lengte van de reiniging,Vooraf verwachte en achteraf gemeten gereinigde lengte van de leiding,float,0,500
GBR,,O,A,,Formaat voor videobeeldmateriaal,Codelijst conform EN 13508-2 ABR,codelijst,,
GBS,,O,A,,Bestandsnaam voor videomateriaal,,,,
GBT,O,O,,,Reinigingsfase,Codelijst conform par. 6.13,codelijst,,
GCA,A,A,,,Vorm,Codelijst conform EN 13508-2 ACA,codelijst,,
GCB,A,A,,,Hoogte,Hoogte van de leiding in mm,float,0,5000
GCC,A,A,,,Breedte,"Verplicht als vorm niet rond is, in mm",float,0,5000
GCD,A,A,,,Materiaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
GCE,A,O,A,,Soort lining,Codelijst conform EN 13508-2 ACE,codelijst,,
GCF,A,O,A,,Liningmateriaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
GCG,O,O,,,Lengte buisdeel,,float,0,500
GCH,O,O,,,Diepte bij beginknooppunt,Bob knooppuntreferentie 1 t.o.v. putdeksel,float,,
GCI,O,O,,,Diepte bij eindknooppunt,Bob knooppuntreferentie 2 t.o.v. putdeksel,float,,
GCJ,O,O,,,Soort afvoerleiding of riool,Codelijst conform EN 13508-2 ACJ,codelijst,,
GCK,O,O,,,Gebruik afvoerleiding of riool,Codelijst conform EN 13508-2 ACK,codelijst,,
GCL,O,,,,Strategisch,,,,
GCN,O,,,,Jaar van ingebruikneming,,integer,1900,2030
GDA,,O,,,Neerslag,Codelijst conform EN 13508-2 ADA,codelijst,,
GDB,,O,,,Temperatuur,Codelijst conform EN 13508-2 ADB,codelijst,,
GDC,,O,,,Maatregelen beheersen vloeistofstroom,Codelijst conform EN 13508-2 ADC,codelijst,,
GDE,,O,A,,Algemene opmerking,"Als een opmerking door een van de andere velden vereist wordt, dan deze opmerking als attribuut ""GDE"" opnemen.",,,
GXA,O,,,,Tekeningnummer,,,,
GXB,O,,,,De verharding van het wegdek,Codelijst conform par. 6.13 conform AXB,codelijst,,
GXC,,O,default nee,,Leiding ontbreekt in opdracht,"Codelijst conform par. 6.13 conform AXC. Leiding staat niet in het bronmateriaal bij de opdracht (vooraf gevuld RibX, tekening e.d.)",codelijst,,
GXD,,O,default nee,,Leiding niet behandeld,"Codelijst conform par. 6.13. Leiding staat wel in het bronmateriaal bij de opdracht, maar is niet gereinigd",codelijst,,
GXE,O,,,,Wanddikte,in mm,float,,
GXF,O,O,,,Verbindingstype,Codelijst conform par. 6.13 conform AXF,codelijst,,
GXG,O,O,,,NAP-waarde bob bij beginput,in meters,float,-15,15
GXH,O,O,,,NAP-waarde bob bij eindput,in meters,float,-15,15
GXI,,A,,,Reinigingsdruk,De toepaste waterdruk (op de haspel) bij de reiniging in bar,float,0,500
GXJ,,A,,,Type spuitkop,,,,
GXK,,A,,,Opdrachtgever aanwezig,Codelijst conform par. 6.13,codelijst,,
GXL,,A,,,Begintijd reiniging,"De lokale tijd van de start van de reinigingsactie. Als met één reinigingsactie meerdere putten en/of leidingen gereinigd worden, dan geldt voor die objecten ook dit tijdstip. Formaat [tijdstip]",tijd,,
GXM,,A,,,Eindtijd reiniging,"De lokale tijd van de einde van de reinigingsactie. Als met één reinigingsactie meerdere putten en/of leidingen gereinigd worden, dan geldt voor die objecten ook dit tijdstip. Verplicht als bij GBP A, D, E of F is ingevuld. Formaat [tijdstip]",tijd,,
GXN,,O,A,,Referentie calamiteit,Referentie naar de calamiteit in het kader waarvan de reiniging wordt uitgevoerd. Verwijzing naar veld MAA. Verplicht bij een calamiteit,,,
GXO,,O,A,,Referentie stagnatie,Code van de optredende stagnatie. Kan meerdere malen voorkomen per objectheader. Verwijzing naar veld NAA. Verplicht bij een stagnatie,,,
GXP,A,O,A,,Voegmateriaal,Codelijst conform par. 6.13. Verplicht bij asbesthoudend materiaal,codelijst,,
GXQ,,A,,,Naam van de bestuurder,"Naam van de bestuurder en de naam van het reinigingsbedrijf. Voornaam en achternaam scheiden door een spatie. Meerdere namen scheiden door het standaard scheidingsteken (""|"")",,,
GXR,,A,,,Kenteken zuigwagen of combi,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken],,,
GXS,,O,A,,Kenteken hogedruk unit,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken]. Verplicht als het geen combi-voertuig is,,,
GXT,,O,,,Controle reiniging door reiniger,Codelijst conform par. 6.13,codelijst,,
GXU,,A,,,Beginput bereikbaar,Codelijst conform par. 6.13,codelijst,,
GXV,,A,,,Eindput bereikbaar,Codelijst conform par. 6.13,codelijst,,
GXW,,A,,,Stortbon referentie,Referentie naar de stortbon. Conform RibX 1.5.1 veld LAA,,,
GXX,O,,,,Bestekpost,Alfanumerieke code van de (RAW) bestekpost waartoe de reiniging van de leiding behoort,,,
GXY,O,O,,,Leidingcurve,Coördinatenreeks conform GML-definitie. Coördinaten beginpunt en eindpunt leiding en optioneel knikpunten. Zie paragraaf 4.5 voor uitleg,,,
