code,heen,terug,cond,niveau,naam,toelichting,waarde_type,min_waarde,max_waarde
JAA,A,A,,N,Knooppuntreferentie,"Unieke identificatie van de put. Als bij teruglevering de identificatie onbekend is, dan conform afspraak opdrachtgever",,,
JAB,A,O,,N,Putcoördinaat,,,,
JAJ,A,,,,Locatie,Straatnaam,,,
JAL,O,,,,Soort locatie,Ligging in dwarsprofiel. Codelijst conform EN 13508-2 CAL,codelijst,,
JAM,A,A,,,Bevoegde instantie,"De opdracht van het project, in veel gevallen de gemeente",,,
JAN,O,A,,,Stad of dorp,,,,
JAO,A,,,,Wijk,Verplicht invullen als het de naam van een plaats is bij samengevoegde gemeenten,,,
JAP,O,,,,Naam rioolstelsel,,,,
JAQ,O,,,,Grondeigendom,Codelijst conform EN 13508-2 CAQ,codelijst,,
JAR,O,O,,,Soort knooppunt,Codelijst conform EN 13508-2 CAR,codelijst,,
JBA,A,A,,,Norm,Codelijst conform par. 6.13,codelijst,,
JBB,,O,A,,Oorspronkelijk coderingssysteem,Verplicht als dit bestand een conversie betreft,,,
JBC,,A,,,Verticaal referentiepunt,Codelijst conform EN 13508-2 CBC,codelijst,,
JBD,,A,,,Omtrekreferentiepunt,Codelijst conform EN 13508-2 CBD,codelijst,,
JBE,,A,,,Reinigingsmethode,Codelijst conform par. 6.13,codelijst,,
JBF,,A,,N,Reinigingsdatum,Formaat [datum],datum,,
JBH,,A,,,Naam van de reiniger,Naam en bedrijf reiniger,,,
JBI,,A,,,Functiereferentie reiniger,Opdrachtcode van het reinigingsbedrijf,,,
JBJ,A,,,,Functiereferentie werkgever,Opdrachtcode van opdrachtgever,,,
JBK,,O,A,,Medium voor opslag videobeelden,Codelijst conform EN 13508-2 CBK,codelijst,,
JBL,,A,,,Formaat voor opslag foto's,Codelijst conform EN 13508-2 CBL,codelijst,,
JBM,,O,A,,Systeem voor plaatsbepaling videobeelden,Codelijst conform EN 13508-2 CBM,codelijst,,
JBN,,O,A,,Fotoreferentie,Codelijst conform EN 13508-2 CBN,codelijst,,
JBO,,O,A,,Videoreferentie,Codelijst conform EN 13508-2 CBO,codelijst,,
JBP,O,,,,Reinigingsdoel,Codelijst conform par. 6.13,codelijst,,
JBR,,O,A,,Formaat voor videobeeldmateriaal,Codelijst conform EN 13508-2 CBR,codelijst,,
JBS,,O,A,,Bestandsnaam voor videomateriaal,,,,
JBT,O,O,,,Reinigingsfase,Codelijst conform par. 6.13,codelijst,,
JCA,O,O,,,Vorm,Codelijst conform EN 13508-2 CCA,codelijst,,
JCB,O,O,,,Breedte van toegang,Lengte van de toegang in mm,float,0,5000
JCC,O,O,,,Breedte van toegang (niet rond),Breedte van de toegang in mm,float,0,5000
JCD,O,O,,,Materiaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
JCG,O,O,,,Lengte van een putdeel,in mm,float,0,10000
JCK,O,O,,,Gebruik van riolering,Codelijst conform EN 13508-2 CCK,codelijst,,
JCL,O,,,,Strategisch,,,,
JCN,O,,,,Jaar van ingebruikneming,,integer,1900,2030
JCO,O,O,,,Vorm van het deksel,Codelijst conform EN 13508-2 CCO,codelijst,,
JCP,O,O,,,Materiaal van het deksel,Codelijst conform EN 13508-2 CCP,codelijst,,
JCQ,O,O,,,Breedte deksel,Lengte deksel in mm,float,0,5000
JCR,O,O,,,Breedte deksel (niet rond),Breedte deksel in mm,float,0,5000
JCS,O,O,,,Soort klimijzers,Codelijst conform EN 13508-2 CCS,codelijst,,
JCT,O,O,,,Materiaal klimijzers,Codelijst conform EN 13508-2 CCT,codelijst,,
JDA,,O,,,Neerslag,Codelijst conform EN 13508-2 CDA,codelijst,,
JDB,,O,,,Temperatuur,Codelijst conform EN 13508-2 CDB,codelijst,,
JDC,,O,,,Maatregelen beheersen vloeistofstroom,Codelijst conform EN 13508-2 CDC,codelijst,,
JDE,,O,A,,Algemene opmerking,"Als een opmerking door een van de andere velden vereist wordt, dan deze opmerking als attribuut ""JDE"" opnemen",,,
JXA,O,,,,Tekeningnummer,,,,
JXC,,O,default nee,,Put ontbreekt in opdracht,"Codelijst conform par. 6.13. Put staat niet in het bronmateriaal bij de opdracht (vooraf gevuld RibX, tekening e.d.)",codelijst,,
JXD,,O,default nee,,Put niet gereinigd,"Codelijst conform par. 6.13. Put staat wel in het bronmateriaal bij de opdracht, maar is niet gereinigd",codelijst,,
JXI,,A,,,Reinigingsdruk,De toepaste waterdruk (op de haspel) bij de reiniging in bar,float,0,500
JXJ,,A,,,Type spuitkop,Omschrijving van de gebruikte spuitkop,,,
JXK,,A,,,Opdrachtgever aanwezig,Codelijst conform par. 6.13,codelijst,,
JXL,,A,,,Begintijd reiniging,"De lokale tijd van de start van de reiniging. Als met één reinigingsactie meerdere putten en/of leidingen gereinigd worden, dan geldt voor die objecten ook dit tijdstip. Formaat [tijdstip]",tijd,,
JXM,,A,,,Eindtijd reiniging,"De lokale tijd van het einde van de reinigingsactie. Als met één reinigingsactie meerdere putten en/of leidingen gereinigd worden, dan geldt voor die objecten ook dit tijdstip. Formaat [tijdstip]",tijd,,
JXN,,O,A,,Referentie calamiteit,Referentie naar de calamiteit in het kader waarvan de reiniging wordt uitgevoerd. Verwijzing naar veld MAA. Verplicht bij een calamiteit,,,
JXO,,O,A,,Referentie stagnatie,Code van de optredende stagnatie. Kan meerdere malen voorkomen per objectheader. Verwijzing naar veld NAA. Verplicht bij een stagnatie,,,
JXP,A,O,A,,Voegmateriaal,Codelijst conform par. 6.13. Verplicht bij asbesthoudend materiaal,codelijst,,
JXQ,,A,,,Naam van de bestuurder,"Naam van de bestuurder en de naam van het reinigingsbedrijf. Voornaam en achternaam scheiden door een spatie. Meerdere namen scheiden door het standaard scheidingsteken (""|"")",,,
JXR,,A,,,Kenteken zuigwagen of combi,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken],,,
JXS,,O,A,,Kenteken hogedruk unit,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken],,,
JXT,,O,,,Controle reiniging door reiniger,Codelijst conform par. 6.13,codelijst,,
JXU,,A,,,Beginput bereikbaar,Codelijst conform par. 6.13,codelijst,,
JXV,,A,,,Eindput bereikbaar,Codelijst conform par. 6.13,codelijst,,
JXW,,A,,,Stortbonreferentie,Referentie naar de stortbon. Conform RibX 1.5.1 veld LAA,,,
JXX,O,,,,Bestekpost,Alfanumerieke code van de (RAW) bestekpost waartoe de reiniging van de put behoort,,,
