code,heen,terug,cond,niveau,naam,toelichting,waarde_type,min_waarde,max_waarde
QAA,A,A,,N,Leidingreferentie,"Unieke identificatie van de drainageleiding. Als bij teruglevering de identificatie onbekend is, dan conform afspraak opdrachtgever",,,
QAB,,A,,,Beginknooppuntreferentie,Startpunt reiniging (knooppuntreferentie 1 of 2),,,
QAC,O,O,,,Beginknooppuntcoördinaat,,,,
QAD,A,A,,N,Knooppuntreferentie 1,,,,
QAE,O,O,,,Knooppuntcoördinaat knooppunt 1,,,,
QAF,A,A,,N,Knooppuntreferentie 2,,,,
QAG,O,O,,,Knooppuntcoördinaat knooppunt 2,,,,
QAJ,A,,,,Locatie,Straatnaam,,,
QAL,O,,,,Soort locatie,Codelijst conform EN 13508-2 AAL,codelijst,,
QAM,A,A,,,Opdrachtgever,"De opdrachtgever van het project, in veel gevallen de gemeente",,,
QAN,O,A,,,Stad of dorp,,,,
QAO,A,,,,Wijk,Wijk of kern. Verplicht invullen als het de naam van een plaats is bij samengevoegde gemeenten,,,
QAP,O,,,,Naam riolering,,,,
QAQ,O,,,,Grondeigendom,Codelijst conform EN 13508-2 AAQ,codelijst,,
QBA,A,A,,,Norm,"Conform spec ""RIBX DRAIN"". In de praktijk komen ook andere normwaarden voor; de validatie is daarom soepel.",,,
QBB,,A,,,Oorspronkelijk coderingssysteem,Verplicht als dit bestand een conversie betreft,,,
QBC,,A,,,Referentiepunt in langsrichting,Codelijst conform EN 13508-2 ABC,codelijst,,
QBE,,A,,,Methode van reiniging,Codelijst conform par. 6.13,codelijst,,
QBF,,A,,N,Reinigingsdatum,Formaat [datum],datum,,
QBH,,A,,,Naam van de inspecteur,Naam en bedrijf van de uitvoerende reiniger,,,
QBI,,A,,,Opdrachtcode reinigingsbedrijf,Opdrachtcode van het reinigingsbedrijf,,,
QBJ,A,,,,Opdrachtcode opdrachtgever,Opdrachtcode van opdrachtgever,,,
QBK,,A,,,Opslag videobeelden,Codelijst conform EN 13508-2 ABK,codelijst,,
QBL,,A,,,Opslag fotoafbeeldingen,Codelijst conform EN 13508-2 ABL,codelijst,,
QBM,,A,,,Plaatsbepaling videobeelden,Codelijst conform EN 13508-2 ABM,codelijst,,
QBN,,A,,,Fotopakketreferentie,,,,
QBO,,A,,,Videopakketreferentie,,,,
QBP,A,,,,Reden van de reiniging,Codelijst conform par. 6.13,codelijst,,
QBQ,A,A,,,Verwachte lengte van de inspectie,Vooraf verwachte en achteraf gemeten gereinigde lengte van de drainageleiding,float,0,500
QBR,,A,,,Videobestand formaat,Codelijst conform EN 13508-2 ABR,codelijst,,
QBS,,A,,,Videobestandsnaam,,,,
QBT,O,O,,,Reinigingsfase,Codelijst conform par. 6.13,codelijst,,
QCA,A,A,,,Vorm,Codelijst conform EN 13508-2 ACA,codelijst,,
QCB,A,A,,,Hoogte,Hoogte van de leiding in mm,float,0,5000
QCC,A,A,,,Breedte,"Verplicht als vorm niet rond is, in mm",float,0,5000
QCD,A,A,,,Materiaal leiding,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
QCE,O,,,,Materiaal omhulling leiding,Codelijst conform par. 6.13,codelijst,,
QCH,O,O,,,Diepte bij beginknooppunt,Bob knooppuntreferentie 1 t.o.v. putdeksel,float,,
QCI,O,O,,,Diepte bij eindknooppunt,Bob knooppuntreferentie 2 t.o.v. putdeksel,float,,
QCJ,O,O,,,Soort drainagesysteem,Codelijst conform par. 6.13,codelijst,,
QCK,O,O,,,Gebruik drainagesysteem,Codelijst conform EN 13508-2 ACK,codelijst,,
QCL,O,,,,Strategisch,,,,
QCN,O,,,,Jaar van ingebruikneming,,integer,1900,2030
QDA,,O,,,Neerslag,Codelijst conform EN 13508-2 ADA,codelijst,,
QDB,,O,,,Temperatuur,Codelijst conform EN 13508-2 ADB,codelijst,,
QDC,,O,,,Maatregelen beheersen vloeistofstroom,Codelijst conform EN 13508-2 ADC,codelijst,,
QDE,,A,,,Algemene opmerking,"Als een opmerking door een van de andere velden vereist wordt, dan deze opmerking als attribuut ""QDE"" opnemen.",,,
QXA,O,,,,Tekeningnummer,,,,
QXC,,A,default nee,,Drainageleiding ontbreekt in opdracht,"Codelijst conform par. 6.13. Drainageleiding staat niet in het bronmateriaal bij de opdracht (vooraf gevuld RibX, tekening e.d.)",codelijst,,
QXD,,A,default nee,,Drainageleiding niet behandeld,"Codelijst conform par. 6.13. Drainageleiding staat wel in het bronmateriaal bij de opdracht, maar is niet gereinigd",codelijst,,
QXF,O,,,,Verbindingstype,Codelijst conform par. 6.13,codelijst,,
QXG,O,O,,,NAP-waarde b.o.b. bij beginknooppunt,in meters,float,-15,15
QXH,O,O,,,NAP-waarde b.o.b. bij eindknooppunt,in meters,float,-15,15
QXI,,A,,,Reinigingsdruk,De toegepaste waterdruk (op de haspel) bij de reiniging in bar,float,0,500
QXJ,,A,,,Type spuitkop,Omschrijving van de gebruikte spuitkop,,,
QXK,,A,,,Opdrachtgever aanwezig,Codelijst conform par. 6.13,codelijst,,
QXL,,A,,,Begintijd reiniging,"De lokale tijd van de start van de reinigingsactie. Formaat [tijdstip]",tijd,,
QXM,,A,,,Eindtijd reiniging,"De lokale tijd van het einde van de reinigingsactie. Formaat [tijdstip]",tijd,,
QXN,,A,,,Referentie calamiteit,Referentie naar de calamiteit in het kader waarvan de reiniging wordt uitgevoerd. Verwijzing naar veld MAA. Verplicht bij een calamiteit,,,
QXO,,A,,,Referentie stagnatie,Code van de optredende stagnatie. Kan meerdere malen voorkomen per objectheader. Verwijzing naar veld NAA. Verplicht bij een stagnatie,,,
QXQ,,A,,,Naam van de bestuurder,"Naam van de bestuurder en de naam van het reinigingsbedrijf. Voornaam en achternaam scheiden door een spatie. Meerdere namen scheiden door het standaard scheidingsteken (""|"")",,,
QXR,,A,,,Kenteken zuigwagen of combi,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken],,,
QXS,,A,,,Kenteken hogedruk unit,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken],,,
QXT,,A,,,Controle reiniging door reiniger,Codelijst conform par. 6.13,codelijst,,
QXU,,A,,,Beginknooppunt bereikbaar,Codelijst conform par. 6.13,codelijst,,
QXV,,A,,,Eindknooppunt bereikbaar,Codelijst conform par. 6.13,codelijst,,
QXW,,A,,,Stortbon referentie,Referentie naar de stortbon. Conform RibX 1.5.1 veld LAA,,,
QXX,O,,,,Bestekpost,Alfanumerieke code van de (RAW) bestekpost waartoe de reiniging van de drainageleiding behoort,,,
QXY,O,O,,,Leidingcurve,Coördinatenreeks conform GML-definitie. Coördinaten beginpunt en eindpunt leiding en optioneel knikpunten,,,
