code,heen,terug,cond,niveau,naam,toelichting,waarde_type,min_waarde,max_waarde
SAA,A,A,,N,Putreferentie,"Unieke identificatie van de drainageput. Als bij teruglevering de identificatie onbekend is, dan conform afspraak opdrachtgever",,,
SAB,O,O,,,Putcoördinaat,,,,
SAJ,A,,,,Locatie,Straatnaam,,,
SAL,O,,,,Soort locatie,Ligging in dwarsprofiel. Codelijst conform EN 13508-2 CAL,codelijst,,
SAM,A,A,,,Opdrachtgever,"De opdrachtgever van het project, in veel gevallen de gemeente",,,
SAN,O,A,,,Stad of dorp,,,,
SAO,A,,,,Wijk,Wijk of kern. Verplicht invullen als het de naam van een plaats is bij samengevoegde gemeenten,,,
SAP,O,,,,Naam riolering,,,,
SAQ,O,,,,Grondeigendom,Codelijst conform EN 13508-2 CAQ,codelijst,,
SAR,A,O,,,Knooppunttype,Codelijst conform par. 6.13 (drainage knooppunttype),codelijst,,
SBA,A,A,,,Norm,"Conform spec ""RIBX DRAIN"". In de praktijk komen ook andere normwaarden voor; de validatie is daarom soepel.",,,
SBB,,A,,,Oorspronkelijk coderingssysteem,Verplicht als dit bestand een conversie betreft,,,
SBC,,A,,,Verticaal referentiepunt,Codelijst conform par. 6.13,codelijst,,
SBD,,A,,,Omtrekreferentiepunt,Codelijst conform par. 6.13,codelijst,,
SBE,,A,,,Methode van reiniging,Codelijst conform par. 6.13,codelijst,,
SBF,,A,,N,Reinigingsdatum,Formaat [datum],datum,,
SBH,,A,,,Naam van de reiniger,Naam en bedrijf van de uitvoerende reiniger,,,
SBI,,A,,,Opdrachtcode reinigingsbedrijf,Opdrachtcode van het reinigingsbedrijf,,,
SBJ,A,,,,Opdrachtcode opdrachtgever,Opdrachtcode van opdrachtgever,,,
SBK,,A,,,Opslag videobeelden,Codelijst conform EN 13508-2 CBK,codelijst,,
SBL,,A,,,Opslag fotoafbeeldingen,Codelijst conform EN 13508-2 CBL,codelijst,,
SBM,,A,,,Plaatsbepaling videobeelden,Codelijst conform EN 13508-2 CBM,codelijst,,
SBN,,A,,,Fotopakketreferentie,,,,
SBO,,A,,,Videopakketreferentie,,,,
SBP,O,,,,Doel van de reiniging,Codelijst conform par. 6.13,codelijst,,
SBR,,A,,,Videobestand formaat,Codelijst conform EN 13508-2 CBR,codelijst,,
SBS,,A,,,Videobestandsnaam,,,,
SBT,O,O,,,Reinigingsfase,Codelijst conform par. 6.13,codelijst,,
SCA,O,O,,,Vorm van de toegang,Codelijst conform EN 13508-2 CCA,codelijst,,
SCB,O,O,,,Lengte van de toegang,Lengte van de toegang in mm,float,0,5000
SCC,O,O,,,Breedte van de toegang,"Breedte van de toegang in mm (verplicht als vorm niet rond is)",float,0,5000
SCD,O,O,,,Materiaal,Codelijst conform EN 13508-2 tabel C.4,codelijst,,
SCG,O,O,,,Lengte van een putdeel,in mm,float,0,10000
SCK,O,O,,,Gebruik drainagesysteem,Codelijst conform EN 13508-2 CCK,codelijst,,
SCL,O,,,,Strategisch,,,,
SCN,O,,,,Jaar van ingebruikneming,,integer,1900,2030
SCO,O,O,,,Vorm van het deksel,Codelijst conform EN 13508-2 CCO,codelijst,,
SCP,O,O,,,Materiaal van het deksel,Codelijst conform EN 13508-2 CCP,codelijst,,
SCQ,O,O,,,Lengte deksel,Lengte deksel in mm,float,0,5000
SCR,O,O,,,Breedte deksel,Breedte deksel in mm,float,0,5000
SCS,O,O,,,Soort voetsteunen,Codelijst conform EN 13508-2 CCS,codelijst,,
SCT,O,O,,,Materiaal klimijzers,Codelijst conform EN 13508-2 CCT,codelijst,,
SDA,,O,,,Neerslag,Codelijst conform EN 13508-2 CDA,codelijst,,
SDB,,O,,,Temperatuur,Codelijst conform EN 13508-2 CDB,codelijst,,
SDC,,O,,,Maatregelen beheersen vloeistofstroom,Codelijst conform EN 13508-2 CDC,codelijst,,
SDE,,A,,,Algemene opmerking,"Als een opmerking door een van de andere velden vereist wordt, dan deze opmerking als attribuut ""SDE"" opnemen.",,,
SXA,O,,,,Tekeningnummer,,,,
SXC,,A,default nee,,Drainageput ontbreekt in opdracht,"Codelijst conform par. 6.13. Drainageput staat niet in het bronmateriaal bij de opdracht (vooraf gevuld RibX, tekening e.d.)",codelijst,,
SXD,,A,default nee,,Drainageput niet gereinigd,"Codelijst conform par. 6.13. Drainageput staat wel in het bronmateriaal bij de opdracht, maar is niet gereinigd",codelijst,,
SXI,,A,,,Reinigingsdruk,De toegepaste waterdruk (op de haspel) bij de reiniging in bar,float,0,500
SXJ,,A,,,Type spuitkop,Omschrijving van de gebruikte spuitkop,,,
SXK,,A,,,Opdrachtgever aanwezig,Codelijst conform par. 6.13,codelijst,,
SXL,,A,,,Begintijd reiniging,"De lokale tijd van de start van de reinigingsactie. Formaat [tijdstip]",tijd,,
SXM,,A,,,Eindtijd reiniging,"De lokale tijd van het einde van de reinigingsactie. Formaat [tijdstip]",tijd,,
SXN,,A,,,Referentie calamiteit,Referentie naar de calamiteit in het kader waarvan de reiniging wordt uitgevoerd. Verwijzing naar veld MAA. Verplicht bij een calamiteit,,,
SXO,,A,,,Referentie stagnatie,Code van de optredende stagnatie. Kan meerdere malen voorkomen per objectheader. Verwijzing naar veld NAA. Verplicht bij een stagnatie,,,
SXQ,,A,,,Naam van de bestuurder,"Naam van de bestuurder en de naam van het reinigingsbedrijf. Voornaam en achternaam scheiden door een spatie. Meerdere namen scheiden door het standaard scheidingsteken (""|"")",,,
SXR,,A,,,Kenteken zuigwagen of combi,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken],,,
SXS,,A,,,Kenteken hogedruk unit,Kenteken van het betreffende reinigingsvoertuig. Formaat [kenteken],,,
SXT,,A,,,Controle reiniging door reiniger,Codelijst conform par. 6.13,codelijst,,
SXU,,A,,,Drainageput bereikbaar,Codelijst conform par. 6.13,codelijst,,
SXW,,A,,,Stortbon referentie,Referentie naar de stortbon. Conform RibX 1.5.1 veld LAA,,,
SXX,O,,,,Bestekpost,Alfanumerieke code van de (RAW) bestekpost waartoe de reiniging van de drainageput behoort,,,
