veld,naam,code,beschrijving
AXB|CXB|GXB,De verharding van het wegdek,A,Klinkers
AXB|CXB|GXB,De verharding van het wegdek,B,Asfalt
AXB|CXB|GXB,De verharding van het wegdek,C,Beton
AXB|CXB|GXB,De verharding van het wegdek,D,Tegels
AXB|CXB|GXB,De verharding van het wegdek,E,Stelconplaten
AXB|CXB|GXB,De verharding van het wegdek,F,Onverhard
AXB|CXB|GXB,De verharding van het wegdek,G,Steenslag
AXB|CXB|GXB,De verharding van het wegdek,H,Kasseien
AXB|CXB|GXB,De verharding van het wegdek,I,Mager beton
AXB|CXB|GXB,De verharding van het wegdek,Z,Anders
AXC|CXC|EXC|GXC|JXC,Leiding of put ontbreekt in opdracht,A,Ja
AXC|CXC|EXC|GXC|JXC,Leiding of put ontbreekt in opdracht,B,Nee
AXD|CXD|EXD|GXD|JXD,Leiding of put niet behandeld,A,Voertuig/obstakel op toegang
AXD|CXD|EXD|GXD|JXD,Leiding of put niet behandeld,B,Straat niet toegankelijk voor voertuig
AXD|CXD|EXD|GXD|JXD,Leiding of put niet behandeld,C,Groen blokkeert de toegang
AXD|CXD|EXD|GXD|JXD,Leiding of put niet behandeld,D,Niet aangetroffen
AXD|CXD|EXD|GXD|JXD,Leiding of put niet behandeld,E,Deksel vast
AXD|CXD|EXD|GXD|JXD,Leiding of put niet behandeld,Z,Anders
AXF|CXF|GXF,Verbindingstype,A,Vaar/moer
AXF|CXF|GXF,Verbindingstype,B,Mof/spie
AXF|CXF|GXF,Verbindingstype,Z,Anders
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,A,Dichtingsmassa
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,B,Cementmortel
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,C,Voegenkit
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,D,Compriband
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,E,Rubberring
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,F,Kunststofring
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,G,"Voegenkit, (mogelijk) asbesthoudend"
AXP|CXP|EXP|GXP|JXP,Voegmateriaal,H,Geen
